Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
car.csv,Dropout,1,dropout_rate = 0.129,0.481,0.092,0.85,0.722,0.87,0.79,7.678,0.072
car.csv,Dropout,2,dropout_rate = 0.071,0.525,0.064,0.838,0.889,0.918,0.866,7.783,0.078
car.csv,Dropout,3,dropout_rate = 0.019,0.79,0.061,0.873,0.834,0.959,0.896,7.789,0.091
car.csv,Dropout,4,dropout_rate = 0.071,0.725,0.035,0.89,,0.985,0.97,7.64,0.055
car.csv,Dropout,5,dropout_rate = 0.06,0.854,0.031,0.936,0.881,0.978,0.95,7.802,0.08
car.csv,Dropout,6,dropout_rate = 0.02,0.752,0.039,0.896,0.854,0.983,0.955,7.724,0.096
car.csv,Dropout,7,dropout_rate = 0.21,0.467,0.051,0.879,,0.91,0.821,7.759,0.058
car.csv,Dropout,8,dropout_rate = 0.21,0.767,0.049,0.919,0.887,0.974,0.969,7.621,0.136
car.csv,Dropout,9,dropout_rate = 0.071,0.901,0.023,0.924,0.863,0.976,0.907,7.64,0.116
car.csv,Dropout,10,dropout_rate = 0.087,0.782,0.042,0.878,0.732,0.969,0.811,7.743,0.137
