Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
car.csv,OUR,1,"alpha = 0.1, epsilon = 0.001",0.661,0.07,0.89,0.882,0.952,0.955,20.086,0.082
car.csv,OUR,2,"alpha = 0.42, epsilon = 0.001",0.756,0.05,0.908,0.931,0.968,0.967,20.661,0.089
car.csv,OUR,3,"alpha = 0.78, epsilon = 0.001",0.776,0.094,0.861,0.879,0.958,0.933,16.751,0.071
car.csv,OUR,4,"alpha = 0.84, epsilon = 0.001",0.757,0.025,0.919,0.795,0.974,0.921,16.483,0.077
car.csv,OUR,5,"alpha = 0.88, epsilon = 0.001",0.753,0.035,0.925,0.821,0.966,0.908,16.422,0.069
car.csv,OUR,6,"alpha = 1.66, epsilon = 0.001",0.804,0.05,0.89,0.915,0.977,0.971,21.252,0.107
car.csv,OUR,7,"alpha = 0.18, epsilon = 0.001",0.954,0.024,0.948,0.886,0.996,0.988,18.066,0.067
car.csv,OUR,8,"alpha = 1.34, epsilon = 0.002",0.934,0.021,0.96,0.913,0.998,0.985,19.339,0.072
car.csv,OUR,9,"alpha = 1.16, epsilon = 0.001",0.899,0.024,0.93,0.848,0.998,0.986,18.367,0.074
car.csv,OUR,10,"alpha = 1.16, epsilon = 0.0",0.862,0.036,0.89,0.812,0.992,0.948,16.825,0.077
