Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
cardiotocography-10clases.csv,Article,1,"alpha = 0.18, epsilon = 1.076e-3",0.606,0.039,0.662,0.657,0.94,0.699,14.701,0.057
cardiotocography-10clases.csv,Article,2,"alpha = 1.86, epsilon = 1.757e-3",0.636,0.034,0.714,0.65,0.96,0.75,14.361,0.059
cardiotocography-10clases.csv,Article,3,"alpha = 1.76, epsilon = 1.928e-3",0.641,0.024,0.798,,0.97,0.784,14.394,0.063
cardiotocography-10clases.csv,Article,4,"alpha = 0.06, epsilon = 1.992e-3",0.559,0.041,0.657,0.772,0.958,0.745,14.526,0.099
cardiotocography-10clases.csv,Article,5,"alpha = 1.34, epsilon = 1.696e-3",0.754,0.022,0.817,0.853,0.983,0.906,14.964,0.097
cardiotocography-10clases.csv,Article,6,"alpha = 1.6, epsilon = 1.666e-3",0.584,0.035,0.7,0.529,0.933,0.646,14.588,0.097
cardiotocography-10clases.csv,Article,7,"alpha = 0.78, epsilon = 1.059e-3",0.624,0.027,0.774,0.657,0.975,0.806,14.688,0.058
cardiotocography-10clases.csv,Article,8,"alpha = 1.58, epsilon = 1.741e-3",0.717,0.032,0.726,0.709,0.967,0.784,14.719,0.065
cardiotocography-10clases.csv,Article,9,"alpha = 0.0, epsilon = 0.884e-3",0.619,0.028,0.769,,0.967,0.774,14.453,0.058
cardiotocography-10clases.csv,Article,10,"alpha = 0.88, epsilon = 1.187e-3",0.641,0.038,0.675,0.721,0.945,0.737,14.284,0.06
