Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
chess-krvkp.csv,Article,1,"alpha = 0.3, epsilon = 0.95e-3",0.988,0.15,0.922,0.878,0.996,0.997,20.931,0.098
chess-krvkp.csv,Article,2,"alpha = 1.6, epsilon = 1.666e-3",1.0,0.046,0.978,0.96,0.999,0.999,20.977,0.124
chess-krvkp.csv,Article,3,"alpha = 0.78, epsilon = 1.281e-3",0.946,0.007,0.969,0.994,0.997,0.997,21.157,0.1
chess-krvkp.csv,Article,4,"alpha = 0.82, epsilon = 1.9e-3",0.964,0.0,0.981,1.0,1.0,1.0,19.888,0.12
chess-krvkp.csv,Article,5,"alpha = 1.04, epsilon = 0.508e-3",0.982,0.0,0.991,1.0,1.0,1.0,19.607,0.121
chess-krvkp.csv,Article,6,"alpha = 1.16, epsilon = 0.956e-3",0.97,0.033,0.969,0.97,0.996,0.996,19.527,0.127
chess-krvkp.csv,Article,7,"alpha = 1.86, epsilon = 1.757e-3",0.928,0.0,0.962,1.0,0.997,0.997,20.09,0.053
chess-krvkp.csv,Article,8,"alpha = 0.78, epsilon = 1.059e-3",0.856,0.138,0.859,0.872,0.928,0.933,19.549,0.049
chess-krvkp.csv,Article,9,"alpha = 0.78, epsilon = 1.059e-3",0.934,0.046,0.944,0.957,0.982,0.976,20.931,0.066
chess-krvkp.csv,Article,10,"alpha = 0.78, epsilon = 1.059e-3",1.0,0.039,0.981,0.965,0.999,0.999,20.561,0.092
