Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
contrac.csv,Dropout,1,dropout_rate = 0.019,0.557,0.21,0.601,0.574,0.713,0.558,5.538,0.065
contrac.csv,Dropout,2,dropout_rate = 0.02,0.497,0.256,0.52,0.522,0.706,0.57,5.585,0.064
contrac.csv,Dropout,3,dropout_rate = 0.06,0.494,0.238,0.534,0.494,0.719,0.551,5.459,0.097
contrac.csv,Dropout,4,dropout_rate = 0.071,0.463,0.26,0.517,0.49,0.737,0.604,5.349,0.055
contrac.csv,Dropout,5,dropout_rate = 0.071,0.541,0.224,0.571,0.563,0.749,0.595,5.416,0.114
contrac.csv,Dropout,6,dropout_rate = 0.02,0.536,0.237,0.551,0.571,0.754,0.596,5.474,0.102
contrac.csv,Dropout,7,dropout_rate = 0.06,0.561,0.214,0.585,0.561,0.772,0.63,5.54,0.059
contrac.csv,Dropout,8,dropout_rate = 0.06,0.516,0.227,0.558,0.514,0.716,0.574,6.286,0.108
contrac.csv,Dropout,9,dropout_rate = 0.019,0.48,0.263,0.503,0.5,0.707,0.573,5.828,0.062
contrac.csv,Dropout,10,dropout_rate = 0.06,0.523,0.235,0.537,0.521,0.73,0.569,5.601,0.098
