Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
contrac.csv,OUR,1,"alpha = 0.56, epsilon = 1.138e-3",0.551,0.211,0.595,0.561,0.706,0.54,11.647,0.051
contrac.csv,OUR,2,"alpha = 1.82, epsilon = 1.502e-3",0.531,0.234,0.554,0.545,0.717,0.575,11.376,0.051
contrac.csv,OUR,3,"alpha = 0.34, epsilon = 1.888e-3",0.511,0.224,0.561,0.519,0.694,0.519,11.613,0.053
contrac.csv,OUR,4,"alpha = 1.34, epsilon = 1.696e-3",0.463,0.26,0.51,0.488,0.727,0.573,13.722,0.063
contrac.csv,OUR,5,"alpha = 0.56, epsilon = 1.138e-3",0.518,0.239,0.551,0.543,0.767,0.613,16.267,0.158
contrac.csv,OUR,6,"alpha = 1.9, epsilon = 1.643e-3",0.517,0.245,0.537,0.586,0.729,0.583,14.977,0.068
contrac.csv,OUR,7,"alpha = 1.16, epsilon = 0.956e-3",0.569,0.213,0.585,0.573,0.753,0.611,15.423,0.08
contrac.csv,OUR,8,"alpha = 1.16, epsilon = 0.956e-3",0.512,0.227,0.551,0.522,0.71,0.566,15.638,0.068
contrac.csv,OUR,9,"alpha = 0.94, epsilon = 0.419e-3",0.468,0.261,0.497,0.474,0.675,0.542,16.062,0.075
contrac.csv,OUR,10,"alpha = 0.26, epsilon = 1.351e-3",0.514,0.238,0.531,0.514,0.714,0.556,11.706,0.064
