Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
hill-valley.csv,Article,1,"alpha = 0.3, epsilon = 0.001",0.016,0.0,0.508,1.0,0.553,0.57,7.556,0.054
hill-valley.csv,Article,2,"alpha = 0.72, epsilon = 0.001",0.016,0.016,0.5,0.5,0.599,0.584,7.742,0.054
hill-valley.csv,Article,3,"alpha = 1.6, epsilon = 0.002",0.0,0.0,0.504,,0.572,0.538,7.838,0.055
hill-valley.csv,Article,4,"alpha = 0.06, epsilon = 0.002",0.017,0.016,0.504,0.5,0.568,0.559,7.711,0.054
hill-valley.csv,Article,5,"alpha = 1.16, epsilon = 0.0",0.067,0.016,0.529,0.8,0.551,0.593,7.51,0.088
hill-valley.csv,Article,6,"alpha = 0.0, epsilon = 0.001",0.933,0.918,0.504,0.5,0.526,0.507,7.581,0.088
hill-valley.csv,Article,7,"alpha = 0.56, epsilon = 0.001",0.607,0.333,0.636,0.649,0.621,0.623,7.978,0.05
hill-valley.csv,Article,8,"alpha = 1.28, epsilon = 0.001",0.574,0.417,0.579,0.583,0.66,0.627,7.648,0.088
hill-valley.csv,Article,9,"alpha = 1.16, epsilon = 0.001",0.787,0.417,0.686,0.658,0.74,0.692,7.585,0.057
hill-valley.csv,Article,10,"alpha = 0.22, epsilon = 0.0",0.23,0.083,0.57,0.737,0.605,0.613,7.881,0.05
