Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
hill-valley.csv,Dropout,1,dropout_rate = 0.019,0.082,0.049,0.516,0.625,0.521,0.548,4.402,0.061
hill-valley.csv,Dropout,2,dropout_rate = 0.087,0.279,0.262,0.508,0.515,0.579,0.553,4.377,0.054
hill-valley.csv,Dropout,3,dropout_rate = 0.019,0.017,0.033,0.496,0.333,0.472,0.485,4.23,0.055
hill-valley.csv,Dropout,4,dropout_rate = 0.118,0.0,0.0,0.504,,0.56,0.54,4.423,0.099
hill-valley.csv,Dropout,5,dropout_rate = 0.06,0.283,0.131,0.579,0.68,0.624,0.638,4.495,0.057
hill-valley.csv,Dropout,6,dropout_rate = 0.438,0.0,0.0,0.504,,0.508,0.504,4.331,0.058
hill-valley.csv,Dropout,7,dropout_rate = 0.071,0.426,0.25,0.587,0.634,0.627,0.63,4.406,0.058
hill-valley.csv,Dropout,8,dropout_rate = 0.979,1.0,1.0,0.504,0.504,0.457,0.481,4.412,0.058
hill-valley.csv,Dropout,9,dropout_rate = 0.698,1.0,1.0,0.504,0.504,0.507,0.505,4.477,0.057
hill-valley.csv,Dropout,10,dropout_rate = 0.364,0.967,0.967,0.504,0.504,0.508,0.517,4.366,0.055
