Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
image-segmentation.csv,Article,1,"alpha = 0.26, epsilon = 1.351e-3",0.208,0.132,0.208,0.778,0.748,0.49,13.872,0.05
image-segmentation.csv,Article,2,"alpha = 1.86, epsilon = 1.757e-3",0.965,0.006,0.965,0.967,0.999,0.995,13.84,0.052
image-segmentation.csv,Article,3,"alpha = 0.42, epsilon = 1.48e-3",0.935,0.011,0.935,0.939,0.996,0.978,13.828,0.049
image-segmentation.csv,Article,4,"alpha = 0.0, epsilon = 1.247e-3",0.935,0.011,0.935,0.936,0.996,0.984,13.864,0.088
image-segmentation.csv,Article,5,"alpha = 1.9, epsilon = 1.643e-3",0.84,0.027,0.84,0.868,0.984,0.91,13.914,0.088
image-segmentation.csv,Article,6,"alpha = 0.56, epsilon = 1.138e-3",0.887,0.019,0.887,0.905,0.99,0.948,14.005,0.05
image-segmentation.csv,Article,7,"alpha = 0.84, epsilon = 0.72e-3",0.823,0.03,0.823,0.842,0.97,0.881,13.779,0.053
image-segmentation.csv,Article,8,"alpha = 0.82, epsilon = 1.941e-3",0.887,0.019,0.887,0.895,0.989,0.954,14.059,0.089
image-segmentation.csv,Article,9,"alpha = 0.46, epsilon = 0.963e-3",0.848,0.025,0.848,0.87,0.976,0.901,13.787,0.25
image-segmentation.csv,Article,10,"alpha = 0.06, epsilon = 1.992e-3",0.775,0.038,0.775,0.806,0.938,0.793,13.86,0.049
