Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
image-segmentation.csv,Dropout,1,dropout_rate = 0.02,0.255,0.124,0.255,0.66,0.78,0.544,7.53,0.089
image-segmentation.csv,Dropout,2,dropout_rate = 0.019,0.913,0.014,0.913,0.92,0.996,0.98,7.576,0.088
image-segmentation.csv,Dropout,3,dropout_rate = 0.02,0.918,0.014,0.918,0.928,0.995,0.98,7.676,0.089
image-segmentation.csv,Dropout,4,dropout_rate = 0.02,0.883,0.019,0.883,0.893,0.989,0.952,7.691,0.052
image-segmentation.csv,Dropout,5,dropout_rate = 0.02,0.788,0.035,0.788,0.848,0.95,0.808,7.563,0.055
image-segmentation.csv,Dropout,6,dropout_rate = 0.019,0.861,0.023,0.861,0.871,0.989,0.954,7.645,0.048
image-segmentation.csv,Dropout,7,dropout_rate = 0.019,0.844,0.026,0.844,0.865,0.98,0.894,7.522,0.089
image-segmentation.csv,Dropout,8,dropout_rate = 0.019,0.801,0.033,0.801,0.81,0.973,0.861,7.515,0.088
image-segmentation.csv,Dropout,9,dropout_rate = 0.02,0.797,0.034,0.797,0.827,0.962,0.848,7.627,0.089
image-segmentation.csv,Dropout,10,dropout_rate = 0.019,0.831,0.028,0.831,0.844,0.953,0.855,7.484,0.088
