Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
image-segmentation.csv,OUR,1,"alpha = 1.82, epsilon = 1.502e-3",0.29,0.118,0.29,0.628,0.849,0.584,13.685,0.09
image-segmentation.csv,OUR,2,"alpha = 0.96, epsilon = 0.277e-3",0.978,0.004,0.978,0.98,1.0,0.998,13.828,0.089
image-segmentation.csv,OUR,3,"alpha = 0.0, epsilon = 0.649e-3",0.922,0.013,0.922,0.928,0.998,0.99,13.619,0.049
image-segmentation.csv,OUR,4,"alpha = 0.78, epsilon = 1.281e-3",0.926,0.012,0.926,0.931,0.994,0.973,13.749,0.051
image-segmentation.csv,OUR,5,"alpha = 0.0, epsilon = 1.247e-3",0.818,0.03,0.818,0.861,0.985,0.925,13.616,0.051
image-segmentation.csv,OUR,6,"alpha = 0.64, epsilon = 1.045e-3",0.87,0.022,0.87,0.875,0.984,0.905,13.654,0.05
image-segmentation.csv,OUR,7,"alpha = 1.76, epsilon = 1.928e-3",0.835,0.027,0.835,0.823,0.987,0.929,13.671,0.049
image-segmentation.csv,OUR,8,"alpha = 1.28, epsilon = 1.207e-3",0.866,0.022,0.866,0.902,0.976,0.91,13.519,0.049
image-segmentation.csv,OUR,9,"alpha = 0.84, epsilon = 0.878e-3",0.853,0.025,0.853,0.886,0.984,0.926,13.519,0.048
image-segmentation.csv,OUR,10,"alpha = 0.26, epsilon = 1.351e-3",0.797,0.034,0.797,0.843,0.945,0.819,13.63,0.087
