Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
molec-biol-splice.csv,Dropout,1,dropout_rate = 0.02,0.843,0.077,0.853,0.837,0.945,0.874,11.967,0.046
molec-biol-splice.csv,Dropout,2,dropout_rate = 0.06,0.827,0.081,0.843,0.825,0.942,0.877,11.945,0.046
molec-biol-splice.csv,Dropout,3,dropout_rate = 0.118,0.792,0.107,0.799,0.786,0.927,0.848,12.235,0.046
molec-biol-splice.csv,Dropout,4,dropout_rate = 0.129,0.861,0.072,0.85,0.834,0.955,0.898,12.262,0.045
molec-biol-splice.csv,Dropout,5,dropout_rate = 0.087,0.865,0.074,0.862,0.853,0.958,0.893,12.42,0.048
molec-biol-splice.csv,Dropout,6,dropout_rate = 0.06,0.807,0.095,0.834,0.83,0.945,0.889,10.953,0.045
molec-biol-splice.csv,Dropout,7,dropout_rate = 0.06,0.913,0.052,0.89,0.876,0.974,0.946,19.239,0.085
molec-biol-splice.csv,Dropout,8,dropout_rate = 0.06,0.793,0.103,0.809,0.793,0.936,0.869,13.758,0.054
molec-biol-splice.csv,Dropout,9,dropout_rate = 0.06,0.783,0.106,0.793,0.778,0.938,0.881,12.767,0.047
molec-biol-splice.csv,Dropout,10,dropout_rate = 0.118,0.814,0.096,0.815,0.804,0.931,0.859,14.272,0.058
