Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
oocytes_merluccius_nucleus_4d.csv,Dropout,1,dropout_rate = 0.02,0.928,0.412,0.816,0.821,0.893,0.942,2.955,0.044
oocytes_merluccius_nucleus_4d.csv,Dropout,2,dropout_rate = 0.02,0.971,0.471,0.825,0.807,0.851,0.9,2.728,0.044
oocytes_merluccius_nucleus_4d.csv,Dropout,3,dropout_rate = 0.019,0.971,0.606,0.784,0.77,0.829,0.893,2.748,0.047
oocytes_merluccius_nucleus_4d.csv,Dropout,4,dropout_rate = 0.02,0.942,0.606,0.765,0.765,0.85,0.921,2.743,0.044
oocytes_merluccius_nucleus_4d.csv,Dropout,5,dropout_rate = 0.06,0.826,0.455,0.735,0.792,0.79,0.862,2.833,0.046
oocytes_merluccius_nucleus_4d.csv,Dropout,6,dropout_rate = 0.118,0.912,0.706,0.706,0.721,0.707,0.82,2.794,0.049
oocytes_merluccius_nucleus_4d.csv,Dropout,7,dropout_rate = 0.019,0.941,0.412,0.824,0.821,0.833,0.897,2.737,0.043
oocytes_merluccius_nucleus_4d.csv,Dropout,8,dropout_rate = 0.019,0.985,0.5,0.824,0.798,0.816,0.877,2.863,0.043
oocytes_merluccius_nucleus_4d.csv,Dropout,9,dropout_rate = 0.02,0.794,0.324,0.755,0.831,0.831,0.914,2.753,0.046
oocytes_merluccius_nucleus_4d.csv,Dropout,10,dropout_rate = 0.02,0.912,0.441,0.794,0.805,0.856,0.922,2.763,0.052
