Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
oocytes_merluccius_nucleus_4d.csv,OUR,1,"alpha = 0.0, epsilon = 0.001",0.899,0.353,0.816,0.838,0.87,0.916,4.854,0.043
oocytes_merluccius_nucleus_4d.csv,OUR,2,"alpha = 0.0, epsilon = 0.001",0.855,0.265,0.816,0.868,0.872,0.923,4.82,0.049
oocytes_merluccius_nucleus_4d.csv,OUR,3,"alpha = 0.0, epsilon = 0.001",0.957,0.606,0.775,0.767,0.864,0.934,4.857,0.05
oocytes_merluccius_nucleus_4d.csv,OUR,4,"alpha = 0.0, epsilon = 0.001",0.942,0.515,0.794,0.793,0.888,0.939,4.989,0.051
oocytes_merluccius_nucleus_4d.csv,OUR,5,"alpha = 0.0, epsilon = 0.001",0.928,0.424,0.814,0.821,0.824,0.867,4.821,0.046
oocytes_merluccius_nucleus_4d.csv,OUR,6,"alpha = 0.0, epsilon = 0.001",0.926,0.529,0.775,0.778,0.814,0.891,4.852,0.044
oocytes_merluccius_nucleus_4d.csv,OUR,7,"alpha = 0.0, epsilon = 0.001",0.941,0.235,0.882,0.889,0.914,0.952,4.788,0.047
oocytes_merluccius_nucleus_4d.csv,OUR,8,"alpha = 0.0, epsilon = 0.001",0.853,0.5,0.735,0.773,0.806,0.901,5.005,0.044
oocytes_merluccius_nucleus_4d.csv,OUR,9,"alpha = 0.02, epsilon = 0.001",0.824,0.412,0.745,0.8,0.804,0.882,4.961,0.047
oocytes_merluccius_nucleus_4d.csv,OUR,10,"alpha = 0.0, epsilon = 0.001",0.956,0.618,0.765,0.756,0.867,0.914,4.852,0.044
