Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
oocytes_merluccius_states_2f.csv,Article,1,"alpha = 0.46, epsilon = 0.001",0.964,0.032,0.942,0.939,0.992,0.972,7.015,0.064
oocytes_merluccius_states_2f.csv,Article,2,"alpha = 1.5, epsilon = 0.001",0.932,0.021,0.981,0.991,0.997,0.997,7.218,0.063
oocytes_merluccius_states_2f.csv,Article,3,"alpha = 1.66, epsilon = 0.001",0.891,0.055,0.882,0.786,0.987,0.947,7.288,0.098
oocytes_merluccius_states_2f.csv,Article,4,"alpha = 0.82, epsilon = 0.002",0.857,0.084,0.892,0.908,0.983,0.955,6.842,0.096
oocytes_merluccius_states_2f.csv,Article,5,"alpha = 0.26, epsilon = 0.001",0.846,0.06,0.892,0.904,0.967,0.921,7.013,0.064
oocytes_merluccius_states_2f.csv,Article,6,"alpha = 1.28, epsilon = 0.001",0.892,0.055,0.931,0.943,0.993,0.987,7.252,0.063
oocytes_merluccius_states_2f.csv,Article,7,"alpha = 1.5, epsilon = 0.001",0.888,0.092,0.902,0.932,0.976,0.959,7.132,0.058
oocytes_merluccius_states_2f.csv,Article,8,"alpha = 0.18, epsilon = 0.001",0.896,0.086,0.853,0.765,0.977,0.923,7.134,0.078
oocytes_merluccius_states_2f.csv,Article,9,"alpha = 0.84, epsilon = 0.002",0.833,0.067,0.931,0.959,0.993,0.974,6.838,0.321
oocytes_merluccius_states_2f.csv,Article,10,"alpha = 0.1, epsilon = 0.001",0.928,0.059,0.902,0.824,0.977,0.955,6.914,0.104
