Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
oocytes_merluccius_states_2f.csv,DROPOUT,1,"alpha = 1.16, epsilon = 0.956e-3",0.965,0.029,0.961,0.965,0.993,0.977,7.293,0.056
oocytes_merluccius_states_2f.csv,DROPOUT,2,"alpha = 0.0, epsilon = 0.649e-3",0.906,0.042,0.961,0.982,0.996,0.994,7.132,0.076
oocytes_merluccius_states_2f.csv,DROPOUT,3,"alpha = 1.58, epsilon = 1.741e-3",0.949,0.044,0.912,0.878,0.987,0.959,7.323,0.07
oocytes_merluccius_states_2f.csv,DROPOUT,4,"alpha = 1.6, epsilon = 1.666e-3",0.847,0.091,0.873,0.812,0.969,0.906,7.466,0.098
oocytes_merluccius_states_2f.csv,DROPOUT,5,"alpha = 0.38, epsilon = 1.359e-3",0.792,0.068,0.902,0.916,0.962,0.894,7.357,0.107
oocytes_merluccius_states_2f.csv,DROPOUT,6,"alpha = 1.16, epsilon = 0.319e-3",0.951,0.042,0.931,0.895,0.995,0.988,8.026,0.058
oocytes_merluccius_states_2f.csv,DROPOUT,7,"alpha = 0.88, epsilon = 1.187e-3",0.896,0.086,0.902,0.923,0.983,0.962,7.306,0.06
oocytes_merluccius_states_2f.csv,DROPOUT,8,"alpha = 0.86, epsilon = 0.241e-3",0.892,0.091,0.843,0.756,0.969,0.864,7.209,0.099
oocytes_merluccius_states_2f.csv,DROPOUT,9,"alpha = 0.0, epsilon = 0.884e-3",0.884,0.06,0.931,0.907,0.995,0.98,7.16,0.359
oocytes_merluccius_states_2f.csv,DROPOUT,10,"alpha = 0.96, epsilon = 0.277e-3",0.882,0.063,0.912,0.876,0.985,0.966,7.645,0.1
