Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
oocytes_merluccius_states_2f.csv,OUR,1,"alpha = 1.86, epsilon = 1.757e-3",0.972,0.026,0.942,0.938,0.994,0.982,7.626,0.068
oocytes_merluccius_states_2f.csv,OUR,2,"alpha = 0.94, epsilon = 0.419e-3",0.978,0.019,0.971,0.971,0.998,0.997,7.119,0.059
oocytes_merluccius_states_2f.csv,OUR,3,"alpha = 0.82, epsilon = 1.941e-3",0.93,0.057,0.892,0.809,0.985,0.94,7.676,0.075
oocytes_merluccius_states_2f.csv,OUR,4,"alpha = 0.0, epsilon = 0.884e-3",0.745,0.105,0.873,0.899,0.978,0.938,7.501,0.071
oocytes_merluccius_states_2f.csv,OUR,5,"alpha = 0.82, epsilon = 1.941e-3",0.843,0.062,0.902,0.912,0.965,0.907,7.798,0.059
oocytes_merluccius_states_2f.csv,OUR,6,"alpha = 0.46, epsilon = 0.53e-3",0.938,0.052,0.922,0.888,0.992,0.974,7.729,0.112
oocytes_merluccius_states_2f.csv,OUR,7,"alpha = 1.04, epsilon = 0.508e-3",0.798,0.096,0.892,0.921,0.974,0.96,7.377,0.071
oocytes_merluccius_states_2f.csv,OUR,8,"alpha = 0.38, epsilon = 1.359e-3",0.903,0.08,0.882,0.811,0.978,0.909,7.216,0.058
oocytes_merluccius_states_2f.csv,OUR,9,"alpha = 1.34, epsilon = 1.696e-3",0.858,0.081,0.912,0.897,0.993,0.976,7.52,0.1
oocytes_merluccius_states_2f.csv,OUR,10,"alpha = 0.82, epsilon = 1.941e-3",0.874,0.07,0.912,0.925,0.988,0.973,7.192,0.062
