Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
ozone.csv,Dropout,1,dropout_rate = 0.549,0.0,0.0,0.972,,0.858,0.22,8.371,0.049
ozone.csv,Dropout,2,dropout_rate = 0.549,0.0,0.0,0.972,,0.929,0.288,8.337,0.049
ozone.csv,Dropout,3,dropout_rate = 0.549,0.0,0.0,0.972,,0.762,0.119,8.351,0.049
ozone.csv,Dropout,4,dropout_rate = 0.549,0.0,0.0,0.969,,0.879,0.129,8.405,0.091
ozone.csv,Dropout,5,dropout_rate = 0.549,0.0,0.0,0.969,,0.904,0.416,8.355,0.088
ozone.csv,Dropout,6,dropout_rate = 0.549,0.0,0.0,0.969,,0.924,0.254,8.353,0.049
ozone.csv,Dropout,7,dropout_rate = 0.06,0.0,0.0,0.972,,0.718,0.296,8.291,0.087
ozone.csv,Dropout,8,dropout_rate = 0.071,0.0,0.0,0.972,,0.863,0.366,8.289,0.047
ozone.csv,Dropout,9,dropout_rate = 0.549,0.0,0.0,0.972,,0.72,0.104,8.548,0.05
ozone.csv,Dropout,10,dropout_rate = 0.02,0.143,0.0,0.976,1.0,0.932,0.446,8.381,0.088
