Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
ozone.csv,OUR,1,"alpha = 0.0, epsilon = 0.884e-3",0.286,0.008,0.972,0.5,0.918,0.379,16.456,0.057
ozone.csv,OUR,2,"alpha = 0.0, epsilon = 0.649e-3",0.0,0.004,0.969,0.0,0.857,0.132,16.676,0.098
ozone.csv,OUR,3,"alpha = 0.0, epsilon = 0.649e-3",0.0,0.028,0.945,0.0,0.82,0.127,17.227,0.098
ozone.csv,OUR,4,"alpha = 0.0, epsilon = 1.247e-3",0.25,0.037,0.941,0.182,0.894,0.168,16.566,0.097
ozone.csv,OUR,5,"alpha = 0.0, epsilon = 1.247e-3",0.25,0.0,0.976,1.0,0.935,0.598,17.124,0.1
ozone.csv,OUR,6,"alpha = 0.0, epsilon = 0.649e-3",0.0,0.0,0.969,,0.964,0.601,18.229,0.064
ozone.csv,OUR,7,"alpha = 0.0, epsilon = 0.649e-3",0.429,0.321,0.672,0.037,0.566,0.034,16.903,0.058
ozone.csv,OUR,8,"alpha = 0.0, epsilon = 1.247e-3",0.286,0.012,0.968,0.4,0.839,0.319,16.849,0.059
ozone.csv,OUR,9,"alpha = 0.0, epsilon = 0.649e-3",0.0,0.0,0.972,,0.702,0.249,16.932,0.35
ozone.csv,OUR,10,"alpha = 0.0, epsilon = 0.884e-3",0.286,0.012,0.968,0.4,0.905,0.315,16.997,0.058
