Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
plant-margin.csv,Article,1,"alpha = 0.42, epsilon = 1.48e-3",0.64,0.004,0.6,,0.988,0.744,10.16,0.079
plant-margin.csv,Article,2,"alpha = 1.64, epsilon = 0.948e-3",0.69,0.003,0.656,,0.994,0.811,10.387,0.075
plant-margin.csv,Article,3,"alpha = 0.94, epsilon = 0.419e-3",0.62,0.004,0.606,,0.992,0.788,10.116,0.074
plant-margin.csv,Article,4,"alpha = 0.0, epsilon = 0.649e-3",0.645,0.004,0.644,,0.987,0.812,10.354,0.077
plant-margin.csv,Article,5,"alpha = 1.36, epsilon = 1.919e-3",0.605,0.004,0.6,,0.992,0.788,10.197,0.081
plant-margin.csv,Article,6,"alpha = 0.0, epsilon = 0.649e-3",0.535,0.005,0.544,,0.992,0.752,10.591,0.076
plant-margin.csv,Article,7,"alpha = 0.78, epsilon = 1.281e-3",0.56,0.004,0.556,,0.987,0.722,10.421,0.075
plant-margin.csv,Article,8,"alpha = 0.94, epsilon = 0.419e-3",0.62,0.004,0.625,,0.994,0.806,10.377,0.075
plant-margin.csv,Article,9,"alpha = 1.6, epsilon = 1.666e-3",0.645,0.003,0.662,,0.993,0.802,10.221,0.076
plant-margin.csv,Article,10,"alpha = 0.3, epsilon = 0.95e-3",0.6,0.004,0.594,,0.988,0.747,10.69,0.078
