Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
plant-margin.csv,Dropout,1,dropout_rate = 0.02,0.575,0.005,0.544,,0.986,0.737,8.356,0.138
plant-margin.csv,Dropout,2,dropout_rate = 0.019,0.59,0.004,0.581,,0.993,0.768,8.238,0.124
plant-margin.csv,Dropout,3,dropout_rate = 0.02,0.55,0.005,0.531,,0.987,0.746,8.85,0.135
plant-margin.csv,Dropout,4,dropout_rate = 0.02,0.57,0.004,0.581,,0.99,0.748,8.789,0.129
plant-margin.csv,Dropout,5,dropout_rate = 0.019,0.605,0.004,0.594,,0.993,0.812,8.75,0.131
plant-margin.csv,Dropout,6,dropout_rate = 0.019,0.575,0.004,0.588,,0.993,0.777,8.826,0.131
plant-margin.csv,Dropout,7,dropout_rate = 0.019,0.57,0.004,0.594,,0.989,0.727,8.751,0.141
plant-margin.csv,Dropout,8,dropout_rate = 0.02,0.56,0.004,0.581,,0.989,0.724,8.771,0.121
plant-margin.csv,Dropout,9,dropout_rate = 0.02,0.585,0.004,0.6,,0.988,0.744,8.734,0.144
plant-margin.csv,Dropout,10,dropout_rate = 0.019,0.6,0.004,0.581,,0.989,0.74,8.797,0.133
