Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
plant-shape.csv,Dropout,1,dropout_rate = 0.019,0.285,0.008,0.25,,0.947,0.428,8.763,0.152
plant-shape.csv,Dropout,2,dropout_rate = 0.019,0.225,0.008,0.212,,0.97,0.466,8.24,0.127
plant-shape.csv,Dropout,3,dropout_rate = 0.02,0.24,0.008,0.244,,0.957,0.465,9.665,0.142
plant-shape.csv,Dropout,4,dropout_rate = 0.02,0.23,0.008,0.225,,0.961,0.5,8.306,0.143
plant-shape.csv,Dropout,5,dropout_rate = 0.019,0.305,0.007,0.3,,0.968,0.504,10.059,0.15
plant-shape.csv,Dropout,6,dropout_rate = 0.02,0.31,0.007,0.288,,0.968,0.523,9.72,0.156
plant-shape.csv,Dropout,7,dropout_rate = 0.019,0.205,0.008,0.206,,0.96,0.457,9.593,0.134
plant-shape.csv,Dropout,8,dropout_rate = 0.02,0.255,0.008,0.25,,0.96,0.446,9.148,0.14
plant-shape.csv,Dropout,9,dropout_rate = 0.019,0.285,0.007,0.269,,0.956,0.455,8.913,0.182
plant-shape.csv,Dropout,10,dropout_rate = 0.02,0.265,0.007,0.269,,0.973,0.496,10.769,0.167
