Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
plant-texture.csv,Dropout,1,dropout_rate = 0.019,0.6,0.004,0.612,,0.973,0.712,8.604,0.131
plant-texture.csv,Dropout,2,dropout_rate = 0.02,0.6,0.004,0.6,,0.983,0.763,8.526,0.124
plant-texture.csv,Dropout,3,dropout_rate = 0.02,0.615,0.004,0.594,,0.982,0.75,8.482,0.137
plant-texture.csv,Dropout,4,dropout_rate = 0.019,0.6,0.004,0.581,,0.986,0.74,8.515,0.128
plant-texture.csv,Dropout,5,dropout_rate = 0.02,0.585,0.004,0.556,,0.977,0.745,8.449,0.343
plant-texture.csv,Dropout,6,dropout_rate = 0.019,0.575,0.004,0.569,,0.982,0.757,8.518,0.133
plant-texture.csv,Dropout,7,dropout_rate = 0.019,0.565,0.004,0.569,,0.978,0.703,8.463,0.124
plant-texture.csv,Dropout,8,dropout_rate = 0.02,0.525,0.005,0.538,,0.978,0.66,8.492,0.134
plant-texture.csv,Dropout,9,dropout_rate = 0.02,0.6,0.004,0.6,,0.976,0.74,8.462,0.132
plant-texture.csv,Dropout,10,dropout_rate = 0.019,0.605,0.004,0.623,,0.983,0.732,8.355,0.071
