Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
semeion.csv,Article,1,"alpha = 0.38, epsilon = 0.001",0.937,0.007,0.938,0.939,0.994,0.966,11.932,0.144
semeion.csv,Article,2,"alpha = 1.04, epsilon = 0.001",0.899,0.011,0.9,0.91,0.997,0.98,12.39,0.123
semeion.csv,Article,3,"alpha = 1.76, epsilon = 0.002",0.881,0.013,0.881,0.889,0.993,0.96,11.702,0.15
semeion.csv,Article,4,"alpha = 1.36, epsilon = 0.002",0.894,0.012,0.893,0.897,0.986,0.942,11.82,0.059
semeion.csv,Article,5,"alpha = 0.84, epsilon = 0.001",0.962,0.004,0.962,0.965,0.997,0.982,11.697,0.061
semeion.csv,Article,6,"alpha = 0.94, epsilon = 0.0",0.918,0.009,0.918,0.921,0.997,0.976,11.816,0.064
semeion.csv,Article,7,"alpha = 1.76, epsilon = 0.002",0.893,0.012,0.893,0.902,0.991,0.949,12.463,0.355
semeion.csv,Article,8,"alpha = 1.98, epsilon = 0.001",0.925,0.008,0.925,0.929,0.995,0.975,11.254,0.068
semeion.csv,Article,9,"alpha = 1.6, epsilon = 0.002",0.888,0.013,0.887,0.89,0.991,0.956,11.691,0.064
semeion.csv,Article,10,"alpha = 1.36, epsilon = 0.002",0.906,0.01,0.906,0.91,0.995,0.973,11.269,0.065
