Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
steel-plates.csv,Dropout,1,dropout_rate = 0.06,0.501,0.101,0.487,0.505,0.784,0.524,13.059,0.087
steel-plates.csv,Dropout,2,dropout_rate = 0.02,0.753,0.056,0.706,0.775,0.937,0.778,11.847,0.09
steel-plates.csv,Dropout,3,dropout_rate = 0.019,0.611,0.08,0.567,,0.92,0.766,13.32,0.089
steel-plates.csv,Dropout,4,dropout_rate = 0.019,0.65,0.064,0.655,0.752,0.909,0.685,11.175,0.085
steel-plates.csv,Dropout,5,dropout_rate = 0.06,0.651,0.058,0.686,0.628,0.906,0.688,13.472,0.08
steel-plates.csv,Dropout,6,dropout_rate = 0.02,0.671,0.091,0.521,0.607,0.906,0.707,11.945,0.1
steel-plates.csv,Dropout,7,dropout_rate = 0.019,0.723,0.062,0.701,0.783,0.95,0.828,11.811,0.086
steel-plates.csv,Dropout,8,dropout_rate = 0.02,0.856,0.043,0.773,0.802,0.965,0.834,11.859,0.088
steel-plates.csv,Dropout,9,dropout_rate = 0.019,0.766,0.06,0.706,0.731,0.979,0.882,11.618,0.1
steel-plates.csv,Dropout,10,dropout_rate = 0.02,0.461,0.104,0.485,,0.786,0.56,11.311,0.109
