Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
titanic.csv,OUR,1,"alpha = 0.0, epsilon = 0.649e-3",0.208,0.027,0.724,0.789,0.662,0.458,14.44,0.06
titanic.csv,OUR,2,"alpha = 0.0, epsilon = 0.649e-3",1.0,0.087,0.941,0.845,1.0,1.0,15.927,0.051
titanic.csv,OUR,3,"alpha = 0.0, epsilon = 1.247e-3",0.845,0.0,0.95,1.0,0.845,0.895,17.775,0.056
titanic.csv,OUR,4,"alpha = 0.0, epsilon = 1.247e-3",0.958,0.0,0.986,1.0,0.958,0.971,17.943,0.051
titanic.csv,OUR,5,"alpha = 0.02, epsilon = 1.396e-3",0.507,0.463,0.527,0.343,0.483,0.43,17.896,0.055
titanic.csv,OUR,6,"alpha = 0.0, epsilon = 0.649e-3",0.0,0.349,0.441,0.0,0.255,0.313,18.011,0.052
titanic.csv,OUR,7,"alpha = 0.0, epsilon = 0.649e-3",0.0,0.0,0.677,,0.0,0.257,17.687,0.051
titanic.csv,OUR,8,"alpha = 0.06, epsilon = 1.992e-3",0.014,0.0,0.682,1.0,0.507,0.332,17.997,0.052
titanic.csv,OUR,9,"alpha = 0.0, epsilon = 0.649e-3",0.0,0.0,0.677,,0.5,0.323,17.941,0.058
titanic.csv,OUR,10,"alpha = 0.0, epsilon = 0.649e-3",0.0,0.0,0.677,,0.631,0.477,17.736,0.067
