Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
wine-quality-red.csv,Dropout,1,dropout_rate = 0.087,0.171,0.159,0.438,,0.659,0.341,8.21,0.129
wine-quality-red.csv,Dropout,2,dropout_rate = 0.118,0.263,0.106,0.612,,0.609,0.32,8.162,0.126
wine-quality-red.csv,Dropout,3,dropout_rate = 0.019,0.265,0.113,0.588,,0.807,0.523,8.222,0.121
wine-quality-red.csv,Dropout,4,dropout_rate = 0.02,0.248,0.133,0.525,,0.746,0.352,8.257,0.124
wine-quality-red.csv,Dropout,5,dropout_rate = 0.071,0.224,0.132,0.531,,0.772,0.375,8.045,0.127
wine-quality-red.csv,Dropout,6,dropout_rate = 0.06,0.341,0.081,0.688,,0.754,0.371,8.078,0.134
wine-quality-red.csv,Dropout,7,dropout_rate = 0.02,0.304,0.097,0.65,,0.739,0.378,8.115,0.12
wine-quality-red.csv,Dropout,8,dropout_rate = 0.019,0.245,0.122,0.55,,0.688,0.305,8.076,0.115
wine-quality-red.csv,Dropout,9,dropout_rate = 0.019,0.3,0.104,0.619,,0.795,0.4,8.032,0.128
wine-quality-red.csv,Dropout,10,dropout_rate = 0.071,0.281,0.111,0.604,,0.771,0.371,8.277,0.079
