Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,TPR,FPR,Accuracy,Precision,AUC ROC,AUC Precision Recall,Training Time,Inference Time
wine-quality-red.csv,OUR,1,"alpha = 1.16, epsilon = 0.956e-3",0.185,0.15,0.469,,0.64,0.342,11.641,0.109
wine-quality-red.csv,OUR,2,"alpha = 0.84, epsilon = 1.955e-3",0.292,0.09,0.669,,0.723,0.355,11.774,0.096
wine-quality-red.csv,OUR,3,"alpha = 0.02, epsilon = 1.396e-3",0.274,0.115,0.581,,0.809,0.514,11.834,0.109
wine-quality-red.csv,OUR,4,"alpha = 1.98, epsilon = 0.728e-3",0.266,0.123,0.544,,0.67,0.315,11.582,0.097
wine-quality-red.csv,OUR,5,"alpha = 1.16, epsilon = 0.956e-3",0.271,0.121,0.575,,0.776,0.45,11.59,0.091
wine-quality-red.csv,OUR,6,"alpha = 0.06, epsilon = 1.992e-3",0.33,0.083,0.662,,0.812,0.392,11.581,0.093
wine-quality-red.csv,OUR,7,"alpha = 1.86, epsilon = 1.757e-3",0.299,0.1,0.625,,0.664,0.338,11.579,0.105
wine-quality-red.csv,OUR,8,"alpha = 1.66, epsilon = 1.293e-3",0.26,0.129,0.525,,0.745,0.321,11.463,0.103
wine-quality-red.csv,OUR,9,"alpha = 0.22, epsilon = 0.422e-3",0.28,0.104,0.619,,0.766,0.35,11.517,0.092
wine-quality-red.csv,OUR,10,"alpha = 0.88, epsilon = 1.187e-3",0.283,0.114,0.579,,0.775,0.348,11.658,0.049
